Type,Local Number,Message,Field 1,Value 1,Units 1,Field 2,Value 2,Units 2,Field 3,Value 3,Units 3,Field 4,Value 4,Units 4,Field 5,Value 5,Units 5,Field 6,Value 6,Units 6,Field 7,Value 7,Units 7,Field 8,Value 8,Units 8,
Definition,0,file_id,serial_number,1,,time_created,1,,manufacturer,1,,product,1,,number,1,,unknown,1,,type,1,,
Data,0,file_id,serial_number,"3517294351",,time_created,"1131318900",,manufacturer,"1",,garmin_product,"3869",,number,"15",,type,"32",,,,,
Definition,1,device_info,timestamp,1,,serial_number,1,,manufacturer,1,,product,1,,software_version,1,,,,,,,,
Data,1,device_info,timestamp,"1131318900",s,serial_number,"3517294351",,manufacturer,"1",,garmin_product,"3869",,software_version,"11.03",,,,,,,,
Definition,2,software,version,1,,,,,,,,,,,,,,,,,,,,
Data,2,software,version,"6.0",,,,,,,,,,,,,,,,,,,,
Definition,3,unknown,unknown,1,,unknown,1,,unknown,1,,,,,,,,,,,,,,
Data,3,unknown,unknown,"0",,unknown,"0",,unknown,"200",,,,,,,,,,,,,,
Definition,4,monitoring_info,timestamp,1,,local_timestamp,1,,cycles_to_distance,2,,cycles_to_calories,2,,unknown,2,,resting_metabolic_rate,1,,activity_type,2,,unknown,1,,
Data,4,monitoring_info,timestamp,"1131318900",s,local_timestamp,"1131300900",s,cycles_to_distance,"1.638|2.457",m/cycle,cycles_to_calories,"0.053|0.1672",kcal/cycle,unknown,"9400|9400",,resting_metabolic_rate,"2202",kcal / day,activity_type,"6|1",,,,,
Definition,5,unknown,unknown,27,,,,,,,,,,,,,,,,,,,,,,,
Data,5,unknown,unknown,"116|142|110|67|0|2|0|51|179|0|0|102|102|1|0|0|0|0|0|0|0|0|0|0|0|0|0",,,,,,,,,,,,,,,,,,,,,,,
Data,5,unknown,unknown,"116|142|110|67|0|3|0|255|255|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0",,,,,,,,,,,,,,,,,,,,,,,
Definition,6,monitoring,timestamp,1,,distance,1,,cycles,1,,active_time,1,,active_calories,1,,duration_min,1,,activity_type,1,,,,,
Data,6,monitoring,timestamp,"1131318900",s,distance,"0.0",m,cycles,"0.0",cycles,active_time,"1545.0",s,active_calories,"73",kcal,duration_min,"1095",min,activity_type,"0",,,,,
Data,6,monitoring,timestamp,"1131318900",s,distance,"2744.78",m,steps,"3351",cycles,active_time,"5076.0",s,active_calories,"244",kcal,duration_min,"1095",min,activity_type,"6",,,,,
Data,6,monitoring,timestamp,"1131318900",s,distance,"3988.86",m,steps,"3882",cycles,active_time,"1509.0",s,active_calories,"248",kcal,duration_min,"1095",min,activity_type,"1",,,,,
Definition,7,monitoring,timestamp,1,,unknown,1,,unknown,1,,,,,,,,,,,,,,,,,
